month,year,total_dis,total_paid,profit,lossrate,debtincome
"2010-01-01 00:00:00",2010,323800,376288,0.09,0.08,0.19
"2010-02-01 00:00:00",2010,228459,247575,0.1,0.06,0.27
"2010-03-01 00:00:00",2010,294327,343068,0.09,0.07,0.2
"2010-04-01 00:00:00",2010,280299,317711,0.1,0.08,0.16
"2010-05-01 00:00:00",2010,205045,213768,0.1,0.09,0.36
"2010-06-01 00:00:00",2010,202310,238782,0.09,0.09,0.21
"2010-07-01 00:00:00",2010,298550,347816,0.1,0.06,0.18
"2010-08-01 00:00:00",2010,312771,364213,0.11,0.11,0.21
"2010-09-01 00:00:00",2010,324000,372810,0.11,0.1,0.19
"2010-10-01 00:00:00",2010,311700,351388,0.11,0.12,0.19
"2010-11-01 00:00:00",2010,378050,418947,0.1,0.13,0.16
"2010-12-01 00:00:00",2010,394000,435572,0.11,0.12,0.31
"2011-01-01 00:00:00",2011,500050,557034,0.11,0.08,0.19
"2011-02-01 00:00:00",2011,458577,489291,0.1,0.08,0.32
"2011-03-01 00:00:00",2011,516762,550532,0.11,0.1,0.19
"2011-04-01 00:00:00",2011,630393,669785,0.11,0.11,0.18
"2011-05-01 00:00:00",2011,777993,756041,0.11,0.09,0.19
"2011-06-01 00:00:00",2011,851713,898783,0.12,0.11,0.2
"2011-07-01 00:00:00",2011,889923,900171,0.12,0.1,0.23
"2011-08-01 00:00:00",2011,1007207,996477,0.12,0.1,0.22
"2011-09-01 00:00:00",2011,1014677,1034079,0.12,0.1,0.19
"2011-10-01 00:00:00",2011,1360053,1352098,0.12,0.1,0.22
"2011-11-01 00:00:00",2011,1163366,1182461,0.12,0.09,0.22
"2011-12-01 00:00:00",2011,1348700,1257974,0.11,0.1,0.23
"2012-01-01 00:00:00",2012,1349890,1136117,0.11,0.1,0.18
"2012-02-01 00:00:00",2012,1410621,1148718,0.1,0.09,0.29
"2012-03-01 00:00:00",2012,1693797,1411461,0.11,0.09,0.21
"2012-04-01 00:00:00",2012,1763636,1375917,0.11,0.09,0.2
"2012-05-01 00:00:00",2012,1826850,1427408,0.12,0.1,0.27
"2012-06-01 00:00:00",2012,1729745,1275254,0.12,0.09,0.22
"2012-07-01 00:00:00",2012,2160630,1526509,0.12,0.1,0.22
"2012-08-01 00:00:00",2012,2151382,1449538,0.11,0.09,0.3
"2012-09-01 00:00:00",2012,2359330,1563386,0.11,0.09,0.22
"2012-10-01 00:00:00",2012,2251908,1322757,0.1,0.09,0.2
"2012-11-01 00:00:00",2012,1570329,891576,0.1,0.09,0.25
"2012-12-01 00:00:00",2012,1241263,649838,0.1,0.08,0.3
"2013-01-01 00:00:00",2013,1225507,702737,0.1,0.08,0.23
"2013-02-01 00:00:00",2013,1444909,694689,0.1,0.08,0.3
"2013-03-01 00:00:00",2013,2437533,1033269,0.09,0.07,0.25
"2013-04-01 00:00:00",2013,2953800,1089841,0.1,0.08,0.29
"2013-05-01 00:00:00",2013,3891772,1410931,0.09,0.07,0.25
"2013-06-01 00:00:00",2013,3791907,1221411,0.09,0.07,0.27
"2013-07-01 00:00:00",2013,4336498,1191165,0.1,0.07,0.24
"2013-08-01 00:00:00",2013,4128155,1018585,0.09,0.07,0.22
"2013-09-01 00:00:00",2013,4384000,911515,0.09,0.08,0.27
"2013-10-01 00:00:00",2013,7630115,1270192,0.09,0.08,0.24
"2013-11-01 00:00:00",2013,6768536,841326,0.08,0.07,0.25
"2013-12-01 00:00:00",2013,8881011,690920,0.08,0.07,0.24
"2014-01-01 00:00:00",2014,9768570,477715,0.07,0.06,0.24
"2014-02-01 00:00:00",2014,7611926,33477,0.07,0.06,0.24
"2014-03-01 00:00:00",2014,2927795,0,0.07,0.06,0.24
